product_id,name,price,in_stock,product_url,image_url,sku_from_image
"2891","AIRLINE SUCTION CUPS – 10/PACK","R26.35 Excl. Vat","Yes","https://www.akwa.co.za/product/airline-suction-cups-10-pack/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0524-300x300.png","AA0524"
"11228","AIRSTONE DISK LARGE – 90mm","R45.25 Excl. Vat","Yes","https://www.akwa.co.za/product/airstone-disk-large-90mm/","https://www.akwa.co.za/wp-content/uploads/2022/07/AS0525-300x300.png","AS0525"
"2888","CONTROL VALVES – 50/PACK","R55.20 Excl. Vat","Yes","https://www.akwa.co.za/product/control-valves-50-pack/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0521-300x300.png","AA0521"
"2892","HOSE CLAMP – 50/PACK","R51.40 Excl. Vat","Yes","https://www.akwa.co.za/product/hose-clamp-50-pack/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0526-300x300.png","AA0526"
"2890","NON RETURN VALVE","R16.20 Excl. Vat","Yes","https://www.akwa.co.za/product/non-return-valve/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0523-300x300.png","AA0523"
"12813","NON RETURN VALVE – 20 PACK","R224.55 Excl. Vat","Yes","https://www.akwa.co.za/product/non-return-valve-20-pack/","https://www.akwa.co.za/wp-content/uploads/2023/05/AA0527-300x300.png","AA0527"
"2889","STRAIGHT JOINT – 50/PACK","R31.70 Excl. Vat","Yes","https://www.akwa.co.za/product/straight-joint-50-pack/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0522-300x300.png","AA0522"
"2887","T-PIECES – 50/PACK","R37.65 Excl. Vat","Yes","https://www.akwa.co.za/product/t-pieces-50-pack/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0520-300x300.png","AA0520"
"11227","Y – JOINT – 50/PACK","R44.45 Excl. Vat","Yes","https://www.akwa.co.za/product/y-joint-50-pack/","https://www.akwa.co.za/wp-content/uploads/2022/07/AA05251-300x300.png","AA05251"
"2880","AIRLINE TUBING 4mm (100m ROLL)","R210.40 Excl. Vat","Yes","https://www.akwa.co.za/product/airline-tubing-4mm-100m-roll/","https://www.akwa.co.za/wp-content/uploads/2020/05/AL0511-Tube-300x300.png","AL0511-Tube"
"2882","PVC TUBING 10mm (30m ROLL)","R197.00 Excl. Vat","Yes","https://www.akwa.co.za/product/pvc-tubing-10mm-30m-roll/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0514-Tube-300x300.png","AA0514-Tube"
"2883","PVC TUBING 12mm (30m ROLL)","R304.30 Excl. Vat","Yes","https://www.akwa.co.za/product/pvc-tubing-12mm-30m-roll/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0515-Tube-300x300.png","AA0515-Tube"
"2884","PVC TUBING 16mm (30m ROLL)","R506.15 Excl. Vat","Yes","https://www.akwa.co.za/product/pvc-tubing-16mm-30m-roll/","https://www.akwa.co.za/wp-content/uploads/2020/05/AA0517-Tube-300x300.png","AA0517-Tube"
