sku,action,product_id,status,vendor,total_inventory,has_image,title,keeper_id
HIK14620,KEEP,gid://shopify/Product/15547027128393,ACTIVE,Hikari,0,Y,Hikari Sinking Cichlid Excel Mini,gid://shopify/Product/15547027128393
HIK19101,ARCHIVE,gid://shopify/Product/15544898158665,ARCHIVED,Aqua Cube,0,Y,Hikari Betta Gold Baby - 2.5G,gid://shopify/Product/15547026374729
HIK19101,KEEP,gid://shopify/Product/15547026374729,ACTIVE,Hikari,0,Y,Hikari Betta Gold Baby,gid://shopify/Product/15547026374729
HIK21108,ARCHIVE,gid://shopify/Product/15544899010633,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Micro - 45G,gid://shopify/Product/15547027226697
HIK21108,KEEP,gid://shopify/Product/15547027226697,ACTIVE,Hikari,0,Y,Hikari Tropical Micro,gid://shopify/Product/15547027226697
HIK21202,ARCHIVE,gid://shopify/Product/15544899043401,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Micro Wafers - 20G,gid://shopify/Product/15547027259465
HIK21202,KEEP,gid://shopify/Product/15547027259465,ACTIVE,Hikari,0,Y,Hikari Tropical Micro Wafers,gid://shopify/Product/15547027259465
HIK21316,ARCHIVE,gid://shopify/Product/15544899108937,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Algae Wafers - 82G,gid://shopify/Product/15547027292233
HIK21316,KEEP,gid://shopify/Product/15547027292233,ACTIVE,Hikari,0,Y,Hikari Tropical Algae Wafers,gid://shopify/Product/15547027292233
HIK21503,ARCHIVE,gid://shopify/Product/15544899174473,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Sinking Wafers - 25G,gid://shopify/Product/15547026407497
HIK21503,KEEP,gid://shopify/Product/15547026407497,ACTIVE,Hikari,0,Y,Hikari Tropical Sinking Wafers,gid://shopify/Product/15547026407497
HIK21628,ARCHIVE,gid://shopify/Product/15544898060361,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Jumbo Carnisticks - 182G,gid://shopify/Product/15547027161161
HIK21628,KEEP,gid://shopify/Product/15547027161161,ACTIVE,Hikari,0,Y,Hikari Tropical Jumbo Carnisticks,gid://shopify/Product/15547027161161
HIK21711,ARCHIVE,gid://shopify/Product/15544898256969,ARCHIVED,Aqua Cube,0,Y,Hikari Tropical Food Sticks - 57G,gid://shopify/Product/15547027193929
HIK21711,KEEP,gid://shopify/Product/15547027193929,ACTIVE,Hikari,0,Y,Hikari Tropical Food Sticks,gid://shopify/Product/15547027193929
HIK25266,ARCHIVE,gid://shopify/Product/15544898945097,ARCHIVED,Aqua Cube,0,Y,Hikari Marine - Marine S - 1Kg,gid://shopify/Product/15547027325001
HIK25266,KEEP,gid://shopify/Product/15547027325001,ACTIVE,Hikari,0,Y,Hikari Marine - Marine S,gid://shopify/Product/15547027325001
HIK25321,ARCHIVE,gid://shopify/Product/15544899305545,ARCHIVED,Aqua Cube,0,Y,Hikari Marine Seaweed Extreme Med - 90G,gid://shopify/Product/15547027357769
HIK25321,KEEP,gid://shopify/Product/15547027357769,ACTIVE,Hikari,0,Y,Hikari Marine Seaweed Extreme Med,gid://shopify/Product/15547027357769
HIK33201,ARCHIVE,gid://shopify/Product/15544899600457,ARCHIVED,Aqua Cube,0,Y,Hikari Freeze Dried Blood Worms - 12G,gid://shopify/Product/15547027390537
HIK33201,KEEP,gid://shopify/Product/15547027390537,ACTIVE,Hikari,0,Y,Hikari Freeze Dried Blood Worms,gid://shopify/Product/15547027390537
HIK33403,ARCHIVE,gid://shopify/Product/15544900157513,ARCHIVED,Aqua Cube,0,Y,Hikari Freeze Dried Krill - 20G,gid://shopify/Product/15547027423305
HIK33403,KEEP,gid://shopify/Product/15547027423305,ACTIVE,Hikari,0,Y,Hikari Freeze Dried Krill,gid://shopify/Product/15547027423305
HIK33502,ARCHIVE,gid://shopify/Product/15544900190281,ARCHIVED,Aqua Cube,0,Y,Hikari Freeze Dried Brine Shrimp - 12G,gid://shopify/Product/15547027456073
